step	action_loss	dynamics_loss	grad_norm	lr	loss
300	0.0139	0.0572	0.195	8.39e-6	0.0712
301	0.00352	0.0925	0.085	8.37e-6	0.096
302	0.00404	0.0312	0.11	8.36e-6	0.0352
303	0.00487	0.0863	0.157	8.35e-6	0.0912
304	0.00447	0.0433	0.11	8.34e-6	0.0478
305	0.00299	0.0738	0.136	8.33e-6	0.0768
306	0.00514	0.0493	0.13	8.31e-6	0.0544
307	0.00218	0.102	0.0974	8.3e-6	0.105
308	0.00597	0.0932	0.112	8.29e-6	0.0992
309	0.00375	0.0775	0.0996	8.28e-6	0.0812
310	0.00428	0.0688	0.111	8.26e-6	0.0731
311	0.0117	0.0874	0.182	8.25e-6	0.0991
312	0.00776	0.079	0.117	8.24e-6	0.0868
313	0.00846	0.0737	0.136	8.23e-6	0.0822
314	0.0033	0.0583	0.102	8.21e-6	0.0616
315	0.0147	0.0763	0.247	8.2e-6	0.091
316	0.00568	0.0816	0.0867	8.19e-6	0.0873
317	0.00807	0.0742	0.156	8.17e-6	0.0823
318	0.00916	0.0862	0.164	8.16e-6	0.0954
319	0.00232	0.0936	0.104	8.15e-6	0.096
320	0.0103	0.103	0.181	8.14e-6	0.113
321	0.00253	0.0722	0.0837	8.12e-6	0.0747
322	0.0104	0.0437	0.155	8.11e-6	0.0541
323	0.00258	0.0587	0.0924	8.1e-6	0.0613
324	0.00743	0.0506	0.0832	8.08e-6	0.0581
325	0.00488	0.0881	0.128	8.07e-6	0.093
326	0.00633	0.0655	0.105	8.06e-6	0.0719
327	0.00779	0.0315	0.166	8.04e-6	0.0393
328	0.00312	0.0322	0.109	8.03e-6	0.0353
329	0.012	0.051	0.141	8.02e-6	0.0631
330	0.00165	0.113	0.0943	8.01e-6	0.114
331	0.0169	0.0675	0.17	7.99e-6	0.0844
332	0.00392	0.057	0.107	7.98e-6	0.0609
333	0.00701	0.116	0.183	7.97e-6	0.123
334	0.00287	0.081	0.138	7.95e-6	0.0839
335	0.00281	0.0635	0.0913	7.94e-6	0.0663
336	0.00765	0.0884	0.137	7.93e-6	0.0961
337	0.012	0.0466	0.172	7.91e-6	0.0586
338	0.00222	0.117	0.0962	7.9e-6	0.119
339	0.00223	0.0569	0.102	7.89e-6	0.0592
340	0.0088	0.0776	0.153	7.87e-6	0.0864
341	0.00269	0.0891	0.0926	7.86e-6	0.0917
342	0.00683	0.0723	0.162	7.84e-6	0.0791
343	0.0115	0.0674	0.159	7.83e-6	0.0789
344	0.00254	0.0959	0.101	7.82e-6	0.0985
345	0.00278	0.0598	0.125	7.8e-6	0.0626
346	0.00137	0.0459	0.0841	7.79e-6	0.0473
347	0.00955	0.0669	0.246	7.78e-6	0.0764
348	0.0116	0.107	0.132	7.76e-6	0.119
349	0.00734	0.0995	0.161	7.75e-6	0.107
350	0.00424	0.0819	0.105	7.73e-6	0.0861
351	0.00472	0.0817	0.094	7.72e-6	0.0864
352	0.0058	0.0887	0.123	7.71e-6	0.0945
353	0.0044	0.0364	0.102	7.69e-6	0.0408
354	0.00303	0.0516	0.0919	7.68e-6	0.0546
355	0.0067	0.0948	0.127	7.67e-6	0.102
356	0.00284	0.0849	0.0936	7.65e-6	0.0878
357	0.00516	0.121	0.122	7.64e-6	0.126
358	0.00275	0.0643	0.15	7.62e-6	0.067
359	0.00228	0.0669	0.0827	7.61e-6	0.0692
360	0.00309	0.0506	0.124	7.59e-6	0.0537
361	0.00821	0.0668	0.111	7.58e-6	0.075
362	0.00872	0.0813	0.108	7.57e-6	0.0901
363	0.00727	0.111	0.16	7.55e-6	0.119
364	0.00342	0.0912	0.113	7.54e-6	0.0946
365	0.00844	0.0448	0.127	7.52e-6	0.0532
366	0.00612	0.0966	0.129	7.51e-6	0.103
367	0.00252	0.0306	0.0909	7.5e-6	0.0331
